Monitor_ID,Latitude,Longitude,State,Location_type,Observed_NO2_ppb,Predicted_NO2_ppb,WRF+DOMINO,800m_Impervious_%,Elevation_truncated_km,800m_MajorRoads_km,100m_MinorRoads_km,Distance_to_coast_km
04-013-0019-42602-1,33.48385,-112.14257,Arizona,Suburban,23.88470616,20.98664327,11.61522293,58.9488,0.304,1.35858,0.61637,313
04-013-3002-42602-6,33.45793,-112.04601,Arizona,Urban And Center City,25.08988632,20.99009612,11.47267723,71.4093,0.304,1.55566,0.26126,323.8
04-013-3003-42602-1,33.47968,-111.91721,Arizona,Suburban,19.28196884,18.08815328,8.990371704,53.548,0.304,1.59508,0.3946,308.4
04-013-3010-42602-1,33.46093,-112.11748,Arizona,Suburban,30.64513806,20.35800937,11.91926765,63.176,0.304,2.42445,0.07244,309
04-013-4011-42602-1,33.37005,-112.6207,Arizona,Rural,11.07041217,8.549621906,2.141365767,7.7453,0.293,3.18936,0,269.5
04-013-9997-42602-1,33.503731,-112.095809,Arizona,Urban And Center City,22.3935655,20.94285617,11.73189163,65.7354,0.304,2.13618,0.28342,314.7
04-019-1011-42602-1,32.204411,-110.878667,Arizona,Suburban,15.74985537,13.39449629,2.031461954,52.9809,0.304,3.25595,0.33082,275.1
04-019-1028-42602-1,32.29515,-110.9823,Arizona,Urban And Center City,14.7733132,12.24510942,2.130546808,45.8764,0.304,4.29178,0,271.6
04-027-0006-42602-1,32.677855,-114.475861,Arizona,Rural,10.412472,5.909957679,0.026117869,18.0552,0.063,0,0.47504,112.4
05-035-0005-42602-1,35.197288,-90.193141,Arkansas,Rural,11.91589214,8.151799493,3.711561203,23.3081,0.065,0,0.37524,629.7
05-119-0007-42602-1,34.756189,-92.281296,Arkansas,Urban And Center City,11.86180267,10.00142346,2.811314344,44.1616,0.07,4.7853,0.09172,619.7
06-001-0007-42602-1,37.6875,-121.7842,California,Urban And Center City,14.14724958,11.60854145,5.31101799,42.6377,0.138,0,0.08095,41.4
06-001-1001-42602-1,37.5358,-121.9619,California,Suburban,15.25191118,12.97865618,7.423306942,44.4652,0.018,1.58525,0.26271,16.3
